Child	Child Id	Mother	Mother Id	Father	Father Id	Pedigree Conflict Score
TMS14F1310P0016	76977	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.048539155956775
TMS14F1310P0018	78079	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0470188331035709
TMS14F1310P0019	77741	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0469159959087473
TMS14F1290P0005	84893	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.042877551474185
TMS14F1290P0007	84673	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0412849646462401
TMS14F1290P0012	84583	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0434917952594832
TMS14F1290P0013	84997	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0400342420064926
TMS14F1290P0016	84533	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0420909859029661
TMS14F1290P0017	84677	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0429248009961311
TMS14F1290P0018	84641	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0410070262818517
TMS14F1290P0019	84955	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0451955574331836
TMS14F1290P0020	84563	IITA-TMS-IBA070258	68531	IITA-TMS-IBA070258	68531	0.0446980477609286
TMS14F1293P0005	84827	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0822697558589407
TMS14F1293P0008	84279	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.065804687152577
TMS14F1293P0020	84459	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0446341219371192
TMS14F1295P0012	76599	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0706213590074265
TMS14F1295P0013	78489	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0690565660159204
TMS14F1295P0016	77801	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0707992395606351
TMS14F1295P0017	78101	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0731922888780184
TMS14F1295P0018	76995	IITA-TMS-IBA930265	69707	IITA-TMS-IBA930265	69707	0.0661882420954329
TMS14F1285P0012	84903	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0429386979143506
TMS14F1285P0013	84503	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0433027971716992
TMS14F1285P0016	84871	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0438086449948859
